1,2556
2,962
3,644
4,1423
5,334
6,2825
7,2250
8,1646
9,434
10,1165
11,3681
12,548
13,1259
14,1821
15,2287
16,2514
17,969
18,1622
19,690
20,789
21,1218
22,2721
23,2525
24,1724
25,2191
27,1386
29,647
30,2146
31,2228
32,1088
33,1088
34,786
35,1005
36,2606
37,554
38,2194
39,1520
40,849
41,1844
42,3861
43,2790
44,2781
45,2042
46,1637
47,1382
48,2654
49,3895
50,2906
51,504
52,778
54,2954
55,2651
56,2567
58,3421
59,2637
60,1277
61,521
62,1089
63,673
64,2462
65,3261
66,3558
67,1344
68,3831
69,2623
70,4019
71,2766
72,3483
73,3821
74,3766
75,959
76,3065
78,1461
79,179
80,1421
81,1501
82,1138
83,2220
84,1852
85,2135
86,3787
87,111
88,1776
89,1501
90,1130
91,2847
92,3619
93,3965
94,1261
95,2421
96,572
97,1746
98,3516
99,2409
100,2664
101,1122
102,1006
103,590
105,705
106,1346
107,3677
108,2014
109,1596
110,3598
111,1969
112,1728
113,1464
114,2404
115,131
116,2572
117,488
118,1094
119,265
120,267
121,2570
122,1988
123,3347
124,2342
125,1798
126,3447
127,3626
128,202
130,1348
131,3789
132,504
133,230
134,3124
135,450
136,2270
137,1322
139,2338
140,3333
141,2759
142,1400
143,734
144,2058
145,2114
146,1415
147,1501
148,2591
149,1629
150,429
151,3390
152,3032
153,117
154,2345
155,343
156,3560
157,3687
158,2235
159,2358
160,794
161,1805
162,557
163,3028
166,3736
167,93
168,3786
169,2428
170,981
171,776
173,2932
174,3733
175,3873
176,1443
177,1903
178,1908
180,2337
181,1885
182,1871
183,678
184,1879
185,411
186,3218
187,2622
188,1977
189,3647
190,4003
191,831
192,44
193,1663
194,3908
195,515
196,249
197,1201
198,1504
199,3338
201,2690
202,2062
203,2954
204,889
205,872
206,1300
207,2181
208,2124
209,2968
210,1309
211,427
212,1706
213,380
214,2346
215,3876
216,1221
217,2610
218,5
219,727
220,609
221,1205
222,1044
223,942
224,1958
225,1138
226,673
229,3011
230,3366
231,2521
232,2563
233,2223
234,2385
235,479
236,762
237,1332
238,3932
239,3408
240,3323
241,860
242,3616
244,1343
245,1058
247,3241
248,1546
249,318
250,1987
252,438
253,2951
254,2269
255,2169
256,3128
257,3139
258,3097
259,753
260,22
261,3341
262,3854
263,1964
264,722
265,515
266,2906
267,1945
268,3202
269,3642
270,3261
271,3132
272,3806
273,3700
274,2721
275,1513
277,757
278,977
279,2574
280,3121
281,1362
282,337
283,3349
285,2329
286,1137
287,204
288,100
290,3368
291,443
292,1467
293,1220
294,2738
295,2010
296,3169
297,918
298,1104
299,1408
300,3448
301,2894
302,3079
303,3513
304,2589
305,3687
306,2474
307,2892
308,3561
309,994
310,2027
311,1232
312,700
314,2225
315,3363
316,1476
317,2755
318,1891
320,3207
321,3109
322,3261
323,795
324,2440
325,961
326,2758
327,2995
330,3674
331,442
332,155
333,164
334,694
335,2650
336,3617
337,2065
338,2843
339,1159
340,2509
341,1078
342,1102
343,2976
344,718
345,3815
346,3221
347,685
349,1093
351,1148
352,3727
353,524
354,704
355,3284
356,1482
357,2098
358,143
359,3266
360,1773
361,1968
362,3354
363,3032
364,3136
365,3528
366,3297
367,1176
369,2552
370,2956
371,3565
372,2488
373,1502
374,404
375,3834
376,3811
377,2867
378,3779
379,3494
380,3870
381,88
382,1290
383,1519
384,2066
385,2767
387,841
389,656
390,1139
391,2509
392,3309
393,2738
394,972
396,3378
399,1333
400,2907
401,3728
402,1089
404,2109
405,656
406,3498
407,3340
408,988
409,754
410,150
411,558
412,3665
413,647
414,3334
415,3947
416,2453
417,342
418,2811
419,733
420,2479
421,2716
422,163
423,613
424,2019
425,3941
426,1910
427,2421
428,38
429,750
430,2413
431,878
432,1788
433,2776
434,403
435,2740
436,145
437,1661
438,327
439,1337
440,537
441,1764
442,1114
443,3261
444,1972
445,489
446,3072
447,41
448,851
449,3042
450,2771
451,673
452,3266
453,3361
454,3719
455,3336
457,3590
458,651
459,3901
